Categoria;Item;Referencia;Cantidad;Estado;Costo promedio;Total
Licores;Whisky Buchanans 12 Años 750Ml;50196388;0;Activo;$139.000;$0
Licores;Whisky Old Park 500Ml;5000281005034;2;Activo;$59.558;$119.115
Licores;Aguardiente Amarillo 750ml;;0;Activo;$27.500;$0
Licores;Whisky Red Label 700ml;5000267014203;2;Activo;$35.774;$71.547
Licores;Whisky Black Label 1000ml;;0;Activo;$62.452;$0
Bebidas no alcoholicas;Jugo hit Mango 500ml;7702090029864;17;Activo;$937;$15.936
Cerveza;Abbaye D´aulne Blonde 330ml;5412652000010;0;Activo;$7.337;$0
Cerveza;Abbaye D´aulne Brune 330ml;5412652000065;0;Activo;$6.332;$0
Cerveza;Abbaye D´aulne Cuvée Royale 330ml;5412652000089;0;Activo;$27.400;$0
Cerveza;Blanche Di Charleroi 330ml;5412652001505;2;Activo;$11.900;$23.800
Cerveza;Erdinger Dunkel 500ml;4002103248651;0;Activo;$10.310;$0
Cerveza;Poker Lata 330Ml;7702004007360;0;Activo;$1.819;$0
Cerveza;Poker Doble Malta Lata 330Ml DESCONTINUADO;;-1;Inactivo;$1.225;-$1.225
Bebidas no alcoholicas;H2Oh Lima Limon 600ml;;0;Activo;$2.081;$0
Cerveza;Erdinger Weissbrau Weibbier 500ml;4002103248637;0;Activo;$9.847;$0
Bebidas no alcoholicas;Canada Dry 10Onz 300ml;7702090020922;7;Activo;$1.422;$9.951
Bebidas no alcoholicas;Gaseosa 7Up 400ml;7702090031973;0;Activo;$1.821;$0
Bebidas no alcoholicas;Jugo Hit Mora 500ml;7702090029857;10;Activo;$875;$8.750
Bebidas no alcoholicas;Jugo Hit Naranja-Piña 500ml;7702090029871;0;Activo;$1.744;$0
Bebidas no alcoholicas;Gaseosa Manzana 400ml;7702090031928;0;Activo;$1.050;$0
Bebidas no alcoholicas;Seventu Pet400;;7;Activo;$1.050;$7.353
Bebidas no alcoholicas;Gaseosa colombiana 400ml;7702090032017;0;Activo;$1.050;$0
Bebidas Energizante;Red Bull 250ml;;0;Activo;$3.727;$0
Bebidas no alcoholicas;Limonata H2OH 600ml;7702090044577;0;Activo;$1.821;$0
Bebidas no alcoholicas;Gaseosa Uva 400ml;7702090031942;0;Activo;$1.050;$0
Bebidas no alcoholicas;Jugo Hit Tropical 500ml;7702090029888;0;Activo;$1.719;$0
Bebidas no alcoholicas;Agua Cristal Con Gas 600ml;7702090023008;0;Activo;$1.240;$0
Cerveza;Abbaye D´aulne Premier Cru 330ml;5412652000034;3;Activo;$13.700;$41.100
Cerveza;Brewdog Hazy Jane 330ml;;0;Activo;$8.746;$0
Cerveza;Innis & Gunn 330ml;;0;Activo;$9.839;$0
Cerveza;Chimay azul  330ML;5410908000036;0;Activo;$16.080;$0
Snacks;Super Rica Todo Rico BBQ 150g;;13;Activo;$5.742;$74.641
Merchandaising;Vaso Munich Harry Beer Station;;-29;Activo;$0;$0
Snacks;Super Rica Papas Pollo 105g;;14;Activo;$4.933;$69.067
Cerveza;Aguilon Aguila Original 750ml;;0;Activo;$777.777;$0
Cerveza;Aguila 0.0 Lata 330ml;;0;Activo;$777.777;$0
Cerveza;Promoción combo;;0;Activo;$777.777;$0
Cerveza;Poker Botella 330ml;;0;Activo;$1.631;$0
